7815,6381,,F,7815,2026/03/26 00:00:00,2026/06/01 00:00:00,2026/06/01 00:00:00,8X100-V0H_-A300-M1,,24,PC,,,1000,HNTZZS0008W,S,O,N,,,,,,,,,,2026/06/01 00:00:00,2,,,24,2026/06/01 00:00:00
7815,6381,,F,7815,2026/03/30 00:00:00,2026/06/01 00:00:00,2026/06/01 00:00:00,8X100-V0H_-A300-M1,,3,PC,,,1000,HNTZZS0008W,S,O,N,,,,,,,,,,2026/06/01 00:00:00,2,,,3,2026/06/01 00:00:00
7815,6381,,F,7815,2026/03/16 00:00:00,2026/06/01 00:00:00,2026/06/01 00:00:00,0920H-70E-J500,HNCHGS0009WW990,3840,PC,,,1000,HNCHGS0009WW990,S,O,N,,,,,,,,,,2026/06/01 00:00:00,2,,,3840,2026/06/01 00:00:00
7815,6381,,F,7815,2023/10/24 00:00:00,2026/06/10 00:00:00,2026/06/10 00:00:00,5A600-K0H-J02* (H),HNCHGS0005AZ,96,PC,,,1000,HNCHGS0005WZ,S,O,N,,,,,,,,,,2026/06/10 00:00:00,2,,,96,2026/06/10 00:00:00
7815,6381,,F,7815,2025/02/25 00:00:00,2026/06/10 00:00:00,2026/06/10 00:00:00,34330-V61_-J212-M1,HNTZZS0003W,64,PC,,,1000,HNTZZS0003W,S,O,N,,,,,,,,,,2026/06/10 00:00:00,2,,,64,2026/06/10 00:00:00
7815,6381,,F,7815,2025/12/15 00:00:00,2026/06/15 00:00:00,2026/06/15 00:00:00,34330-V61_-J012-M1,HNTZZS0001W,128,PC,,,1000,HNTZZS0001W,S,O,N,,,,,,,,,,2026/06/15 00:00:00,2,,,128,2026/06/15 00:00:00
7815,6381,,F,7815,2025/04/15 00:00:00,2026/06/20 00:00:00,2026/06/20 00:00:00,34330-V61_-J112-M1,HNTZZS0002W,512,PC,,,1000,HNTZZS0002W,S,O,N,,,,,,,,,,2026/06/20 00:00:00,2,,,512,2026/06/20 00:00:00
7815,6381,,F,7815,2024/01/18 00:00:00,2026/06/20 00:00:00,2026/06/20 00:00:00,34330-V61_-J012-M1,HNTZZS0001W,256,PC,,,1000,HNTZZS0001W,S,O,N,,,,,,,,,,2026/06/20 00:00:00,2,,,256,2026/06/20 00:00:00
7815,6381,,F,7815,2025/04/21 00:00:00,2026/06/25 00:00:00,2026/06/25 00:00:00,34330-V61_-J212-M1,HNTZZS0003W,256,PC,,,1000,HNTZZS0003W,S,O,N,,,,,,,,,,2026/06/25 00:00:00,2,,,256,2026/06/25 00:00:00
7815,6381,,F,7815,2024/01/18 00:00:00,2026/06/25 00:00:00,2026/06/25 00:00:00,34330-V61_-J312-M1,HNTZZS0004W,256,PC,,,1000,HNTZZS0004W,S,O,N,,,,,,,,,,2026/06/25 00:00:00,2,,,256,2026/06/25 00:00:00
